feature,importance
m_wifi_m_wifi_row_rssi_sum_max_f5489163,38.0
m_ble_m_ble_row_rssi_min_mean_roll7_mean_399e9cd6,37.0
w_hr_hr_mean_max_7bf838d9,35.0
m_wifi_m_wifi_row_rssi_min_std_roll3_mean_9d0c1042,33.0
m_screen_m_screen_use_by_time_sum_night_roll7_mean_03aa980b,32.0
m_activity_m_activity_by_time_mean_morning_lag1_fa894b0e,31.0
m_light_m_light_by_time_mean_evening_roll7_mean_ec7749f3,30.0
m_screen_m_screen_use_count_roll7_mean_e4d2b571,29.0
w_hr_hr_sum_max_96f1f5cc,29.0
m_ambience_ambience_prob_sum_mean_lag1_0edfb442,28.0
w_hr_hr_sum_mean_30cd3a65,27.0
w_hr_hr_mean_min_0ca7a416,27.0
m_ac_m_charging_by_time_mean_morning_55eacdfc,27.0
m_usage_app_time_withings_cc246644_fc9e87d0,26.0
m_wifi_m_wifi_row_rssi_min_std_roll7_mean_02a9d82e,26.0
m_ble_m_ble_row_n_max_roll7_mean_5092ec20,25.0
m_usage_app_time_x_31d5a54c_31d5a54c_ce11c9cd,25.0
m_ble_m_ble_row_rssi_min_max_roll7_mean_efd915fa,25.0
w_hr_daily_mean_roll3_mean_1f514bd8,25.0
m_wifi_m_wifi_row_rssi_mean_std_roll7_mean_dd07b17d,25.0
m_ambience_ambience_top_prob_min_lag1_75956ca1,24.0
m_usage_app_time_x_918b33a3_918b33a3_roll7_mean_7e0208a2,24.0
m_usage_app_time_x_918b33a3_918b33a3_roll3_mean_fd6c6ee0,23.0
w_light_w_light_count_roll3_mean_dcf47f6f,23.0
m_usage_usage_max_time_max_5b548a0c,22.0
w_light_w_light_sum_roll3_mean_e3f6c03c,22.0
m_ble_m_ble_row_rssi_max_std_865a305b,21.0
m_gps_m_gps_row_altitude_std_max_eebd2c4c,21.0
m_screen_m_screen_use_by_time_mean_night_roll7_mean_7712c992,21.0
m_light_m_light_by_time_sum_evening_roll7_mean_b8fe6e78,21.0
m_activity_m_activity_by_time_sum_afternoon_lag1_3063dd21,21.0
w_light_w_light_by_time_sum_evening_280f5000,21.0
m_usage_app_time_naver_b6c7d707_0985fe5c,21.0
m_activity_m_activity_changes_roll7_mean_ee24dbe5,21.0
w_pedo_distance_max_7b71c058,20.0
m_usage_app_time_x_ede0afe7_ede0afe7_roll3_mean_93f78907,20.0
m_ble_m_ble_row_rssi_std_std_roll7_mean_0e08f166,20.0
w_light_w_light_by_time_mean_night_roll7_mean_8800522a,19.0
m_screen_m_screen_use_by_time_mean_night_4fa69cb6,19.0
m_gps_m_gps_row_altitude_mean_max_roll7_mean_05ce5716,19.0
m_light_m_light_by_time_mean_night_5dd6f094,19.0
m_ac_m_charging_by_time_sum_afternoon_293fb1c9,19.0
m_gps_m_gps_row_altitude_sum_mean_roll7_mean_218ce057,19.0
w_hr_hr_std_mean_4b1da1a4,18.0
m_wifi_m_wifi_row_rssi_mean_max_d07a4313,18.0
m_gps_m_gps_row_speed_mean_std_roll7_mean_f332e162,18.0
m_usage_app_time_x_f0f024d9_f0f024d9_roll3_mean_4f24d5b7,18.0
m_screen_m_screen_use_by_time_mean_night_roll3_mean_0ec5de94,18.0
m_gps_m_gps_row_n_sum_78e7fc63,18.0
m_activity_m_activity_by_time_sum_morning_lag1_c2c05e33,17.0
m_ble_m_ble_row_rssi_min_mean_lag1_88d1187b,17.0
m_activity_m_activity_by_time_sum_evening_roll3_mean_c281e7e8,17.0
m_ambience_ambience_entropy_min_roll7_mean_b0ce0c0d,17.0
w_hr_hr_std_max_roll3_mean_c902580c,17.0
m_activity_m_activity_by_time_sum_night_roll7_mean_b50f86c1,17.0
m_activity_m_activity_by_time_mean_morning_95a9878c,17.0
w_light_w_light_by_time_mean_afternoon_roll3_mean_450f569b,17.0
m_usage_app_time_x_f0f024d9_f0f024d9_1985b6ec,16.0
w_hr_hr_std_max_2c273c29,16.0
m_usage_app_time_x_960ebc65_960ebc65_roll3_mean_7ffdfd7d,16.0
m_activity_m_activity_by_time_mean_afternoon_6d7c2b57,16.0
m_ble_m_ble_row_rssi_std_mean_3fa0c961,16.0
m_light_m_light_max_roll7_mean_0db13b42,16.0
m_ble_m_ble_row_rssi_mean_min_lag1_1a0be562,16.0
m_usage_app_time_x_918b33a3_918b33a3_1af5b4ba,16.0
w_light_w_light_by_time_sum_morning_roll7_mean_5edcbf85,16.0
m_usage_app_time_google_play_eea79eac_d3c9e7e9,16.0
m_usage_app_time_x_ede0afe7_ede0afe7_roll7_mean_c19035d8,16.0
m_ble_m_ble_row_rssi_min_mean_roll3_mean_2e58b60d,16.0
m_usage_app_time_google_play_eea79eac_roll3_mean_15936686,16.0
m_usage_app_time_x_9c2fc95a_9c2fc95a_roll3_mean_d262bc19,16.0
m_usage_usage_events_mean_roll3_mean_686941b9,16.0
m_usage_app_time_x_f704fdcd_f704fdcd_roll7_mean_97a0dc7c,16.0
m_ble_m_ble_row_rssi_std_std_b5f0e7f7,15.0
w_light_w_light_by_time_mean_morning_roll7_mean_644ee88a,15.0
m_light_m_light_by_time_mean_evening_roll3_mean_11d48e61,15.0
w_pedo_step_by_time_mean_afternoon_dea36cdd,15.0
w_hr_hr_sum_mean_roll3_mean_a3b6f059,15.0
w_light_w_light_by_time_sum_morning_b83e3684,15.0
m_ac_m_charging_by_time_mean_afternoon_roll7_mean_3d26cb21,15.0
m_ambience_ambience_prob_sum_mean_roll3_mean_a3e95bb0,15.0
m_activity_m_activity_by_time_sum_morning_roll7_mean_79472e64,14.0
m_activity_m_activity_sum_lag1_db0512df,14.0
w_hr_hr_max_max_70d90103,14.0
m_usage_app_time_help_cnuh24_0b8fb29b_46c59e0a,14.0
w_hr_hr_sum_mean_roll7_mean_6f085cff,14.0
m_usage_app_time_x_f704fdcd_f704fdcd_52a0dc9d,14.0
w_hr_hr_mean_max_roll7_mean_ff7b90bf,14.0
m_gps_m_gps_row_latitude_std_min_roll7_mean_6eb1b6e1,14.0
w_light_w_light_by_time_mean_evening_c2e86829,14.0
m_light_m_light_by_time_mean_evening_b7722bee,14.0
m_usage_usage_events_sum_6d6cdcfb,14.0
m_light_m_light_by_time_mean_night_roll7_mean_83a7ea59,14.0
m_ambience_ambience_prob_sum_mean_roll7_mean_f2a84c2b,14.0
m_activity_m_activity_by_time_sum_afternoon_roll7_mean_8d798ba0,14.0
m_ambience_top_count_mains_hum_21c205ff_roll7_mean_0b8c14f2,14.0
subject_row_order_07d056a5,13.0
m_gps_m_gps_row_latitude_mean_std_roll7_mean_fa0d0d37,13.0
m_usage_usage_total_time_max_roll7_mean_2496c644,13.0
m_screen_m_screen_use_by_time_sum_morning_557974e8,13.0
m_usage_app_time_x_dbc38cac_dbc38cac_roll3_mean_b85d8bd0,13.0
m_gps_m_gps_row_speed_max_min_roll7_mean_b28361b1,13.0
m_usage_app_time_x_73816cb8_73816cb8_87462a01,13.0
w_pedo_distance_by_time_sum_afternoon_24890485,13.0
w_light_w_light_count_roll7_mean_dbadbed3,13.0
m_activity_m_activity_by_time_sum_morning_3c474ccf,13.0
m_gps_m_gps_row_n_mean_cb5ddff2,13.0
m_activity_m_activity_by_time_mean_evening_roll7_mean_54803313,13.0
w_hr_hr_min_min_roll7_mean_48b85887,13.0
w_pedo_distance_by_time_mean_afternoon_cbee5d65,13.0
m_usage_app_time_x_73816cb8_73816cb8_roll7_mean_34230dd3,13.0
w_light_w_light_mean_roll3_mean_0d525589,13.0
m_activity_m_activity_ratio_f_7_8f14e45f_fca65343,13.0
m_light_m_light_by_time_mean_morning_0f4e0bfa,12.0
m_gps_m_gps_row_altitude_min_min_6e46fcd3,12.0
m_ble_m_ble_row_rssi_mean_min_ce2b74d3,12.0
w_pedo_burned_calories_by_time_mean_morning_bdb7960f,12.0
m_usage_app_time_instagram_55f015a0_0eb6b478,12.0
m_gps_m_gps_row_latitude_std_max_roll7_mean_ef6a9f62,12.0
m_light_m_light_by_time_sum_morning_roll3_mean_13a6fdb9,12.0
m_ble_m_ble_row_rssi_sum_max_roll7_mean_f883b611,12.0
m_wifi_m_wifi_row_rssi_min_std_58ee3d41,12.0
m_wifi_m_wifi_row_rssi_max_std_4c8d301a,12.0
m_activity_m_activity_count_f_3_eccbc87e_roll7_mean_ac94915b,12.0
m_usage_app_time_withings_cc246644_roll3_mean_26ca8300,12.0
m_activity_m_activity_count_f_8_c9f0f895_roll7_mean_a17b4bc3,12.0
w_light_w_light_by_time_sum_night_c243a774,12.0
w_light_w_light_by_time_sum_afternoon_roll3_mean_5a8804cb,12.0
m_ble_m_ble_row_rssi_mean_std_lag1_a4feb9bc,12.0
m_ac_m_charging_by_time_sum_morning_fe92efe9,12.0
w_hr_hr_max_mean_roll3_mean_da9b3a0c,11.0
w_hr_hr_max_max_roll7_mean_f9a29b4f,11.0
w_pedo_burned_calories_by_time_sum_morning_43147d57,11.0
m_wifi_m_wifi_row_rssi_mean_std_b1da1683,11.0
m_gps_m_gps_row_speed_std_mean_roll3_mean_1debc503,11.0
m_wifi_m_wifi_row_rssi_max_min_roll3_mean_8ec8af83,11.0
w_hr_hr_median_std_1da1bc15,11.0
w_pedo_burned_calories_std_d3d2004b,11.0
m_ble_m_ble_row_rssi_mean_max_roll7_mean_88b25d26,11.0
w_light_w_light_count_5db5e1ef,11.0
w_light_w_light_mean_44a3c72b,11.0
m_activity_m_activity_by_time_mean_night_roll7_mean_a604fda1,11.0
w_light_w_light_by_time_mean_morning_4374e742,11.0
m_ble_m_ble_row_rssi_mean_max_roll3_mean_e2cdc369,11.0
w_hr_hr_max_max_roll3_mean_89fd2523,11.0
m_gps_m_gps_row_speed_sum_max_roll7_mean_ec66a5cc,11.0
m_wifi_m_wifi_row_rssi_std_std_roll3_mean_c3f73df0,11.0
m_usage_app_time_x_dbc38cac_dbc38cac_81dd936e,11.0
m_activity_m_activity_count_f_7_8f14e45f_roll7_mean_acde366e,11.0
m_ble_m_ble_row_rssi_std_max_dc524816,11.0
m_ac_m_charging_by_time_mean_afternoon_4590f1d1,11.0
m_usage_app_time_samsung_wallet_15ecd9b2_roll3_mean_6014d051,11.0
m_screen_m_screen_use_by_time_mean_evening_e8126ade,11.0
m_usage_app_time_google_play_eea79eac_roll7_mean_d51ee8f1,11.0
w_hr_hr_mean_mean_3a459fc2,11.0
m_usage_usage_max_time_mean_aa64c09a,11.0
m_ble_m_ble_row_n_max_lag1_4ae86369,11.0
m_usage_usage_total_time_max_14c7d0b7,11.0
m_light_m_light_by_time_sum_night_0050fa3c,11.0
m_gps_m_gps_row_longitude_sum_max_roll7_mean_5bf6fb61,11.0
w_pedo_step_count_825750cd,10.0
m_ble_m_ble_row_rssi_max_mean_roll7_mean_3524dd8b,10.0
w_hr_hr_mean_min_roll7_mean_b45c993b,10.0
w_light_w_light_by_time_mean_evening_roll3_mean_199780df,10.0
m_screen_m_screen_use_by_time_sum_night_e74c2155,10.0
m_activity_m_activity_by_time_mean_morning_roll3_mean_f5ad4e87,10.0
m_usage_app_time_x_960ebc65_960ebc65_366ac55d,10.0
m_usage_app_time_x_16a8cbbd_16a8cbbd_roll7_mean_827bbda4,10.0
w_light_w_light_by_time_mean_morning_roll3_mean_c65c2504,10.0
m_ac_m_charging_by_time_mean_morning_roll7_mean_81f73cf9,10.0
m_activity_m_activity_by_time_sum_afternoon_9cb88504,10.0
m_ac_m_charging_std_df0f2c9d,10.0
w_light_w_light_by_time_sum_morning_roll3_mean_7b1234ce,10.0
m_ambience_top_count_silence_880a7ef2_lag1_84065d4f,10.0
w_light_w_light_by_time_sum_night_roll3_mean_c43d2501,10.0
m_ac_m_charging_count_roll7_mean_b8fd95a0,10.0
m_ble_m_ble_row_n_sum_lag1_d854ac91,10.0
m_ble_m_ble_row_n_mean_lag1_bab1ec34,10.0
m_ac_m_charging_sum_f4f4a5b4,10.0
subject_days_since_first_8f29ea17,10.0
m_gps_m_gps_row_altitude_sum_max_roll7_mean_94b3e9fd,10.0
m_activity_m_activity_ratio_f_8_c9f0f895_roll7_mean_acb1bb2e,10.0
w_hr_hr_std_max_roll7_mean_730f7704,10.0
m_wifi_m_wifi_row_rssi_min_max_c30d368d,10.0
m_activity_m_activity_ratio_f_1_c4ca4238_lag1_85b88832,10.0
m_wifi_m_wifi_row_rssi_std_min_roll3_mean_3f78365b,10.0
m_screen_m_screen_use_by_time_sum_afternoon_roll7_mean_036a9cad,10.0
w_light_w_light_by_time_sum_afternoon_roll7_mean_57f0240e,10.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_roll3_mean_0ba3830a,10.0
m_wifi_m_wifi_row_rssi_std_max_roll3_mean_78a0b700,10.0
w_hr_hr_max_mean_e37103a2,10.0
m_activity_m_activity_by_time_mean_afternoon_lag1_2ea939e5,10.0
w_hr_hr_sum_sum_9846e4a5,10.0
w_light_w_light_by_time_mean_afternoon_roll7_mean_2d7cc655,10.0
m_gps_m_gps_row_n_sum_roll3_mean_0001b6c0,10.0
w_hr_hr_mean_max_roll3_mean_352f366a,10.0
m_gps_m_gps_row_n_mean_roll3_mean_ad26057c,10.0
m_ble_m_ble_row_rssi_min_std_roll7_mean_c661e904,10.0
m_ambience_ambience_prob_sum_mean_0ad82062,10.0
m_ac_m_charging_by_time_mean_morning_lag1_1e14cd1f,9.0
w_pedo_burned_calories_max_8b2cfed1,9.0
m_usage_usage_max_time_max_roll3_mean_bba77aae,9.0
m_activity_m_activity_by_time_mean_evening_roll3_mean_980e15ca,9.0
m_activity_m_activity_std_roll7_mean_1cda361a,9.0
w_hr_hr_mean_std_e3649aa5,9.0
w_hr_hr_n_sum_c228978e,9.0
w_hr_hr_n_mean_a07e095c,9.0
m_usage_app_time_x_f704fdcd_f704fdcd_roll3_mean_2e516042,9.0
m_ble_m_ble_row_rssi_mean_mean_lag1_759811a5,9.0
m_ble_m_ble_row_rssi_std_min_lag1_37eae53e,9.0
m_ac_m_charging_by_time_sum_night_roll7_mean_563e9950,9.0
m_ac_m_charging_mean_77f1a38b,9.0
m_wifi_m_wifi_row_rssi_mean_std_roll3_mean_044ac2bc,9.0
m_screen_m_screen_use_count_roll3_mean_4eeca431,9.0
m_screen_m_screen_use_std_roll3_mean_bcb78a6b,9.0
m_ac_m_charging_by_time_mean_morning_roll3_mean_aa3dcc5c,9.0
m_ble_m_ble_row_rssi_sum_max_roll3_mean_50daf74c,9.0
m_gps_m_gps_row_latitude_std_std_roll7_mean_8e5f9a3b,9.0
m_usage_app_time_x_dbc38cac_dbc38cac_roll7_mean_d6f26e00,9.0
m_gps_m_gps_row_altitude_max_min_roll3_mean_bedec83e,9.0
m_ble_m_ble_row_rssi_max_min_roll7_mean_e3954de0,9.0
m_gps_m_gps_row_altitude_std_std_d6ff1f24,9.0
m_ble_m_ble_row_rssi_mean_min_roll7_mean_7cd1a927,9.0
m_gps_m_gps_row_altitude_sum_sum_bed3b381,9.0
w_light_w_light_max_roll3_mean_d27460d6,9.0
m_activity_m_activity_count_f_7_8f14e45f_7113ff94,9.0
m_activity_m_activity_ratio_f_0_cfcd2084_5e9f36d0,9.0
m_activity_m_activity_by_time_mean_evening_19f9692b,9.0
m_gps_m_gps_row_speed_min_mean_roll3_mean_f045ebd1,9.0
m_gps_m_gps_row_speed_max_mean_roll3_mean_54007fdf,9.0
m_screen_m_screen_use_by_time_sum_afternoon_4fe7607d,9.0
m_gps_m_gps_row_speed_min_std_roll7_mean_58a7595b,9.0
m_gps_m_gps_row_altitude_max_mean_roll7_mean_30e76907,9.0
m_gps_m_gps_row_altitude_max_max_roll7_mean_f21c35d0,9.0
m_usage_app_time_x_eb0f03ac_eb0f03ac_roll7_mean_b8418621,9.0
m_usage_app_time_withings_cc246644_roll7_mean_87f17535,8.0
m_activity_m_activity_std_roll3_mean_3b707422,8.0
m_screen_m_screen_use_by_time_mean_morning_roll7_mean_39172967,8.0
m_wifi_m_wifi_row_rssi_mean_min_eeb257ce,8.0
m_usage_usage_events_mean_763e5314,8.0
m_screen_m_screen_use_by_time_sum_morning_roll7_mean_5e96edbc,8.0
m_usage_usage_total_time_mean_dd0d2a3b,8.0
m_usage_usage_max_time_max_roll7_mean_96fc7c11,8.0
m_light_m_light_by_time_mean_morning_roll7_mean_075c5936,8.0
m_ac_m_charging_by_time_mean_evening_roll3_mean_72d2966b,8.0
m_usage_usage_max_time_mean_roll7_mean_1676d43a,8.0
m_gps_m_gps_row_speed_min_max_roll7_mean_175cc56e,8.0
w_pedo_burned_calories_by_time_sum_afternoon_1605b82e,8.0
m_activity_m_activity_mean_roll7_mean_ca71c248,8.0
m_usage_app_time_x_9c2fc95a_9c2fc95a_roll7_mean_0ae6eaf3,8.0
m_screen_m_screen_use_by_time_mean_morning_b16c24b4,8.0
m_activity_m_activity_by_time_mean_night_lag1_da9409cc,8.0
m_ble_m_ble_row_rssi_min_std_roll3_mean_f110aeae,8.0
m_gps_m_gps_row_altitude_std_std_roll3_mean_9c51daa1,8.0
w_light_w_light_std_roll7_mean_f34dfa97,8.0
m_ble_m_ble_row_rssi_std_max_roll7_mean_03a03dd5,8.0
m_ble_m_ble_row_rssi_mean_std_roll7_mean_4c5f8677,8.0
m_light_m_light_max_roll3_mean_1ffd29a3,8.0
m_wifi_m_wifi_row_rssi_min_max_roll7_mean_d96cc6fc,8.0
m_usage_usage_events_sum_roll3_mean_50b9db73,8.0
m_ac_m_charging_by_time_mean_night_lag1_43c59082,8.0
m_ac_m_charging_changes_lag1_4ffd4468,8.0
m_activity_m_activity_mean_lag1_b74ff990,8.0
m_usage_app_time_x_31d5a54c_31d5a54c_roll3_mean_b922b254,8.0
m_activity_m_activity_by_time_mean_evening_lag1_7365e9e3,8.0
m_activity_m_activity_changes_lag1_32ec63b3,8.0
w_hr_hr_sum_sum_roll7_mean_1cfdfe6e,8.0
m_activity_m_activity_ratio_f_7_8f14e45f_lag1_ccd1fa9a,8.0
m_ambience_ambience_prob_sum_sum_lag1_0ba6aebe,8.0
m_wifi_m_wifi_row_rssi_sum_max_roll3_mean_9143f972,8.0
m_ambience_ambience_entropy_std_da8971cf,8.0
m_activity_m_activity_ratio_f_3_eccbc87e_77774b3a,8.0
m_activity_m_activity_count_f_3_eccbc87e_0313a42d,8.0
m_activity_m_activity_by_time_mean_afternoon_roll7_mean_4fabef92,8.0
m_activity_m_activity_min_roll7_mean_1dedf469,8.0
m_ac_m_charging_by_time_sum_night_2ff39ad5,8.0
m_ac_m_charging_by_time_mean_evening_733a593c,8.0
m_ble_m_ble_row_rssi_mean_max_lag1_2ec5b9d6,8.0
m_ble_m_ble_row_rssi_std_mean_lag1_18d241ba,8.0
m_ble_m_ble_row_rssi_std_max_lag1_6a9c5015,8.0
m_gps_m_gps_row_longitude_sum_sum_2e18b164,8.0
m_light_m_light_median_roll3_mean_38e39389,8.0
m_gps_m_gps_row_longitude_mean_std_roll7_mean_8354a8d0,8.0
m_ambience_ambience_top_prob_mean_roll3_mean_2c717d53,8.0
m_gps_m_gps_row_latitude_max_std_roll7_mean_3faac426,8.0
m_light_m_light_by_time_mean_afternoon_9a872ce1,8.0
m_gps_m_gps_row_longitude_std_min_roll7_mean_d7a66f86,8.0
m_ambience_ambience_entropy_max_roll3_mean_13ca82a8,8.0
m_ambience_ambience_prob_sum_max_roll3_mean_53de1ece,7.0
m_wifi_m_wifi_row_rssi_std_std_roll7_mean_c83e55c6,7.0
m_wifi_m_wifi_row_rssi_std_min_roll7_mean_dce68606,7.0
m_wifi_m_wifi_row_rssi_max_min_roll7_mean_9f7e121b,7.0
m_ambience_ambience_entropy_max_lag1_53c1506e,7.0
m_usage_app_time_youtube_8dd1bae8_roll3_mean_d7ced601,7.0
m_ac_m_charging_by_time_mean_afternoon_roll3_mean_acff5e3f,7.0
m_activity_m_activity_count_f_0_cfcd2084_lag1_dfc92ce1,7.0
m_usage_app_time_x_f0f024d9_f0f024d9_roll7_mean_5b0e498d,7.0
m_ambience_ambience_n_sum_roll3_mean_f43ca366,7.0
m_activity_m_activity_by_time_sum_evening_roll7_mean_2eccf658,7.0
w_pedo_burned_calories_sum_6c4ba887,7.0
m_wifi_m_wifi_row_rssi_sum_sum_76aa122d,7.0
m_wifi_m_wifi_row_rssi_max_std_roll3_mean_7556b78b,7.0
m_ambience_ambience_prob_sum_sum_roll3_mean_4de39adb,7.0
m_activity_m_activity_ratio_f_3_eccbc87e_roll7_mean_9222ea21,7.0
m_wifi_m_wifi_row_rssi_max_min_bf10b832,7.0
w_hr_daily_mean_97ad944b,7.0
m_usage_app_time_one_ui_f0679540_roll7_mean_3f595bbe,7.0
m_ac_m_charging_by_time_sum_afternoon_roll7_mean_d44a5f7b,7.0
m_activity_m_activity_mean_roll3_mean_34b33cd5,7.0
life_dayofyear_sin_9a234d58,7.0
w_pedo_step_std_02981646,7.0
m_ac_m_charging_by_time_mean_night_roll7_mean_3d55dbab,7.0
m_screen_m_screen_use_count_01ec27bc,7.0
m_ac_m_charging_changes_85cb6824,7.0
m_ac_m_charging_by_time_sum_morning_roll3_mean_ba0089da,7.0
w_light_w_light_by_time_mean_night_910d603b,7.0
w_light_w_light_by_time_mean_afternoon_1ca0ff62,7.0
w_hr_hr_min_mean_roll3_mean_3e976d33,7.0
w_light_w_light_max_dbf70195,7.0
w_hr_hr_sum_max_roll3_mean_ba1a84ad,7.0
m_wifi_bssid_nunique_roll3_mean_8f7eb827,7.0
m_usage_app_time_chrome_986c3748_roll3_mean_c9fb6355,7.0
m_activity_m_activity_count_roll7_mean_df4945bc,7.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_roll7_mean_08447280,7.0
m_light_m_light_sum_roll3_mean_722dfecb,7.0
